ID_Moneda,Nombre_Moneda,Simbolo,Anio,Mes_Nombre,Mes_Referencia,Precio_Promedio_Mensual,Maximo_Mensual,Minimo_Mensual,Precio_Inicio_Mes,Precio_Fin_Mes,Volatilidad_Media_Mensual,Volumen_Promedio_Mensual,Mes_Orden,Retorno_Mensual_Real
bittensor,Bittensor,TAO,2025,December,2025-12-01,277.69,291.05,265.98,291.05,276.04,3.9295942286960113,142716404.676667,12,-0.0516
ethena,Ethena,ENA,2025,November,2025-11-01,0.30,0.39,0.23,0.39,0.25,5.26338680912475,278239122.478333,11,-0.3590
hyperliquid,Hyperliquid,HYPE,2025,January,2025-01-01,23.05,27.69,20.31,25.35,23.16,6.257472420929769,203625625.591290,1,-0.0864
hyperliquid,Hyperliquid,HYPE,2025,August,2025-08-01,43.16,48.55,37.00,37.00,41.11,4.814606672386678,327421088.230000,8,0.1111
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,JLP,2025,July,2025-07-01,4.81,5.26,4.42,4.52,5.03,1.420624859959267,46509311.738710,7,0.1128
okb,OKB,OKB,2025,June,2025-06-01,51.08,53.80,48.13,50.19,51.19,2.455181350009205,14838169.662000,6,0.0199
pepe,Pepe,PEPE,2025,May,2025-05-01,0.00,0.00,0.00,0.00,0.00,6.5577554531822795,1657322519.291290,5,
usd-coin,USDC,USDC,2025,October,2025-10-01,1.00,1.00,1.00,1.00,1.00,0.007625073023835742,14031685465.681935,10,0.0000
wbnb,Wrapped BNB,WBNB,2025,May,2025-05-01,645.21,687.92,586.26,599.92,687.59,1.8801358083953994,1027748673.550000,5,0.1461
weth,WETH,WETH,2025,June,2025-06-01,2517.08,2810.87,2228.04,2537.64,2413.87,3.362753347438244,288924223.215333,6,-0.0488
bitcoin,Bitcoin,BTC,2025,October,2025-10-01,114210.48,124773.51,106443.61,118503.24,110046.67,2.0473466580908903,70943561583.714194,10,-0.0714
dai,Dai,DAI,2025,June,2025-06-01,1.00,1.00,1.00,1.00,1.00,0.02284978074755417,77830268.820333,6,0.0000
figure-heloc,Figure Heloc,FIGR_HELOC,2025,October,2025-10-01,0.97,1.04,0.23,1.03,0.23,11.399311172995963,51229143.540323,10,-0.7767
crypto-com-chain,Cronos,CRO,2025,March,2025-03-01,0.08,0.11,0.07,0.08,0.10,5.897483245628848,62103441.229032,3,0.2500
ethereum-classic,Ethereum Classic,ETC,2025,July,2025-07-01,19.89,24.64,15.94,16.60,21.40,3.4414792312134215,340492110.678710,7,0.2892
hash-2,Provenance Blockchain,HASH,2025,June,2025-06-01,0.02,0.03,0.02,0.02,0.03,8.978550922451001,16471.792667,6,0.5000
hashnote-usyc,Circle USYC,USYC,2025,July,2025-07-01,1.09,1.09,1.09,1.09,1.09,0.04147409061204129,106621.968276,7,0.0000
tether,Tether,USDT,2025,April,2025-04-01,1.00,1.00,1.00,1.00,1.00,0.025375706310065926,44648290411.577333,4,0.0000
worldcoin-wld,Worldcoin,WLD,2025,September,2025-09-01,1.35,1.94,0.85,0.88,1.28,8.12224473967464,616816785.264667,9,0.4545
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),USDC,2025,April,2025-04-01,1.00,1.00,1.00,1.00,1.00,0.10912465812282758,30832759.281333,4,0.0000
bittensor,Bittensor,TAO,2025,April,2025-04-01,270.04,378.91,183.84,223.77,366.40,6.210542089690112,134748212.937000,4,0.6374
flare-networks,Flare,FLR,2025,April,2025-04-01,0.02,0.02,0.01,0.01,0.02,5.73334743391831,17538872.610667,4,1.0000
hyperliquid,Hyperliquid,HYPE,2025,October,2025-10-01,42.65,50.56,35.38,45.24,47.85,5.450309860757505,633568924.873548,10,0.0577
polkadot,Polkadot,DOT,2025,July,2025-07-01,3.90,4.54,3.28,3.28,4.13,3.4475651002567504,357996137.053226,7,0.2591
polygon-ecosystem-token,POL (ex-MATIC),POL,2025,December,2025-12-01,0.13,0.13,0.12,0.12,0.13,3.4855510905468954,83158057.706667,12,0.0833
solana,Solana,SOL,2024,December,2024-12-01,210.57,238.89,180.15,229.07,190.70,3.982120635299732,6713991022.936071,12,-0.1675
solana,Solana,SOL,2025,May,2025-05-01,165.63,184.05,143.98,143.98,156.51,2.8765256501442678,4696949421.006129,5,0.0870
staked-ether,Lido Staked Ether,STETH,2025,March,2025-03-01,2028.07,2511.70,1803.47,2213.62,2075.51,4.703991262863181,65005670.144839,3,-0.0624
the-open-network,Toncoin,TON,2025,December,2025-12-01,1.56,1.60,1.50,1.60,1.50,3.129289819908223,117326490.216667,12,-0.0625
aptos,Aptos,APT,2025,March,2025-03-01,5.68,6.74,5.14,5.74,5.61,4.949280460862404,181037584.187419,3,-0.0226
bfusd,BFUSD,BFUSD,2025,November,2025-11-01,1.00,1.00,1.00,1.00,1.00,0.027180753268815458,28389642.667000,11,0.0000
dai,Dai,DAI,2025,January,2025-01-01,1.00,1.00,1.00,1.00,1.00,0.04911383927201308,157352057.245484,1,0.0000
falcon-finance,Falcon USD,USDF,2025,June,2025-06-01,1.00,1.00,1.00,1.00,1.00,0.11873464951477415,2917510.948667,6,0.0000
litecoin,Litecoin,LTC,2025,June,2025-06-01,86.42,93.22,79.71,88.58,84.82,2.9572876994130595,300704126.663000,6,-0.0424
pi-network,Pi Network,PI,2025,April,2025-04-01,0.64,0.74,0.52,0.72,0.58,6.096151933330172,263672140.529000,4,-0.1944
shiba-inu,Shiba Inu,SHIB,2025,March,2025-03-01,0.00,0.00,0.00,0.00,0.00,4.56340222914782,240896156.019032,3,
usd1-wlfi,USD1,USD1,2025,July,2025-07-01,1.00,1.00,1.00,1.00,1.00,0.061955547290920544,553547108.439677,7,0.0000
wrapped-bitcoin,Wrapped Bitcoin,WBTC,2025,March,2025-03-01,84994.36,94030.65,78618.21,94030.65,87113.67,3.4698418286450683,320982047.319355,3,-0.0736
wrapped-solana,Wrapped SOL,SOL,2025,May,2025-05-01,165.70,184.38,144.15,147.79,175.92,2.9448991094803034,1283716113.864516,5,0.1903
wrapped-steth,Wrapped stETH,WSTETH,2025,February,2025-02-01,3223.68,3917.99,2747.92,3917.99,3188.51,3.59400770634078,62314097.915714,2,-0.1862
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,2025,May,2025-05-01,1.00,1.00,1.00,1.00,1.00,0.0,0.000000,5,0.0000
ethereum-classic,Ethereum Classic,ETC,2025,February,2025-02-01,20.83,26.80,18.58,26.80,18.70,3.6560622244893186,141593288.227143,2,-0.3022
figure-heloc,Figure Heloc,FIGR_HELOC,2025,September,2025-09-01,1.01,1.05,0.99,1.00,1.05,2.181668319429156,37122097.953000,9,0.0500
hedera-hashgraph,Hedera,HBAR,2025,December,2025-12-01,0.14,0.14,0.13,0.14,0.14,2.7988035860498823,183748833.116667,12,0.0000
okb,OKB,OKB,2025,November,2025-11-01,117.57,144.67,99.07,142.44,99.07,3.5739519589295146,56347287.430333,11,-0.3045
susds,sUSDS,SUSDS,2025,July,2025-07-01,1.06,1.06,1.06,1.06,1.06,0.01216664579411225,21424777.983226,7,0.0000
ignition-fbtc,Function FBTC,FBTC,2025,May,2025-05-01,103266.36,111736.94,94244.26,94652.46,105716.79,1.82808037838117,782404.768065,5,0.1169
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,JLP,2025,November,2025-11-01,4.87,5.43,4.47,4.97,4.76,2.13102302068872,65971499.410333,11,-0.0423
rain,Rain,RAIN,2025,September,2025-09-01,0.00,0.00,0.00,0.00,0.00,10.316673439450954,4416070.403500,9,
tether,Tether,USDT,2024,December,2024-12-01,1.00,1.00,1.00,1.00,1.00,0.1131781680796496,112136878689.200714,12,0.0000
arbitrum,Arbitrum,ARB,2025,March,2025-03-01,0.37,0.46,0.32,0.42,0.38,5.698930112685562,181216137.948387,3,-0.0952
official-trump,Official Trump,TRUMP,2025,January,2025-01-01,31.96,44.28,26.09,28.93,26.09,18.919704699152096,9924173621.664286,1,-0.0982
pi-network,Pi Network,PI,2025,December,2025-12-01,0.23,0.24,0.23,0.23,0.24,5.520990392221471,26235056.676667,12,0.0435
staked-ether,Lido Staked Ether,STETH,2025,May,2025-05-01,2349.95,2674.04,1792.45,1836.99,2629.93,3.8699386756132967,29916550.105484,5,0.4317
usd1-wlfi,USD1,USD1,2025,December,2025-12-01,1.00,1.00,1.00,1.00,1.00,0.03261652611281931,329527305.836667,12,0.0000
crypto-com-chain,Cronos,CRO,2025,August,2025-08-01,0.17,0.33,0.12,0.13,0.29,5.959885743668157,224341389.288065,8,1.2308
falcon-finance,Falcon USD,USDF,2025,December,2025-12-01,1.00,1.00,1.00,1.00,1.00,0.1265740617223018,566005.013333,12,0.0000
litecoin,Litecoin,LTC,2025,December,2025-12-01,81.07,82.83,77.63,82.75,77.63,2.8316594906454857,596746072.216667,12,-0.0619
ripple-usd,Ripple USD,RLUSD,2025,July,2025-07-01,1.00,1.00,1.00,1.00,1.00,0.023507194351507988,216070207.021613,7,0.0000
susds,sUSDS,SUSDS,2025,June,2025-06-01,1.06,1.06,1.05,1.05,1.06,0.01880520951574417,13515890.536333,6,0.0095
tether,Tether,USDT,2025,February,2025-02-01,1.00,1.00,1.00,1.00,1.00,0.04208540919530103,64338008487.400357,2,0.0000
usds,USDS,USDS,2025,August,2025-08-01,1.00,1.00,1.00,1.00,1.00,0.025266794189671413,14390367.628387,8,0.0000
usdt0,USDT0,USDT0,2025,July,2025-07-01,1.00,1.00,1.00,1.00,1.00,0.07608868222630853,317567975.921290,7,0.0000
wrapped-beacon-eth,Wrapped Beacon ETH,WBETH,2025,November,2025-11-01,3499.26,4230.56,2995.08,4186.11,3032.76,3.565945324950303,18718861.782333,11,-0.2755
arbitrum,Arbitrum,ARB,2025,January,2025-01-01,0.74,0.92,0.59,0.72,0.63,4.696259979899759,395945294.819355,1,-0.1250
arbitrum,Arbitrum,ARB,2025,November,2025-11-01,0.25,0.31,0.20,0.30,0.22,5.361394003981263,178251715.641000,11,-0.2667
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),USDC,2025,November,2025-11-01,1.00,1.00,1.00,1.00,1.00,0.03207562219823983,381675193.521000,11,0.0000
internet-computer,Internet Computer,ICP,2025,November,2025-11-01,5.17,8.98,2.94,2.94,4.19,9.879337016847213,485645593.879667,11,0.4252
paypal-usd,PayPal USD,PYUSD,2025,June,2025-06-01,1.00,1.00,1.00,1.00,1.00,0.0317519403961525,24498356.027000,6,0.0000
sky,Sky,SKY,2025,February,2025-02-01,0.05,0.07,0.04,0.05,0.07,5.412696086402391,16239046.749643,2,0.4000
binancecoin,BNB,BNB,2025,August,2025-08-01,824.44,899.04,736.66,783.00,856.06,2.591134159628017,1618875605.906452,8,0.0933
ethena-staked-usde,Ethena Staked USDe,SUSDE,2025,June,2025-06-01,1.18,1.18,1.18,1.18,1.18,0.05248479189527766,20742111.832333,6,0.0000
gatechain-token,Gate,GT,2024,December,2024-12-01,13.57,16.89,11.90,12.56,16.00,3.3181746932811644,16631366.420714,12,0.2739
